k1,k2,E_Ts_x1,E_Tr_x1,E_OS_x1,E_Osc_x1,E_Ts_x2,E_Tr_x2,E_OS_x2,E_Osc_x2,E_Up,E_Ui,J,ProbabilityWeight-k1,ProbabilityWeight,ProbabilityWeight-k2,PointProbability,prefix
2.75045,1.0005,6.07423711856,1.01620810405,0.629098372349,3.46,7.27673836918,0.997498749375,1.27761800478,4.14,3.37497602375,5.16767721234,12.9453784303,0.04999,0.00249825025,0.049975,0.1,242
2.75045,1.10045,5.31685842921,1.04802401201,0.541941764292,2.88,6.64842421211,0.902151075538,1.19180265096,3.79,3.39342896753,4.63703751403,12.0200943992,0.04999,0.00249825025,0.049975,0.1,243
2.75045,1.2004,4.96578289145,0.936368184092,0.542512282749,2.64,5.995997999,0.943371685843,1.18704482949,3.33,3.57886173901,4.64499299076,11.9344109118,0.04999,0.00249825025,0.049975,0.1,244
2.75045,1.30035,4.54617308654,0.988394197099,0.444033912622,2.42,5.54897448724,0.876938469235,1.00925123363,3.05,3.31106243951,3.96048094788,10.6964409749,0.04999,0.00249825025,0.049975,0.1,245
2.75045,1.4003,4.07793896948,1.11245622811,0.362850925625,1.98,5.0084042021,0.675937968984,1.0574509895,2.82,3.65021683131,3.82228364492,10.6102067576,0.04999,0.00249825025,0.049975,0.1,246
2.75045,1.50025,3.81370685343,1.06243121561,0.385626267046,1.88,4.70965482741,0.831815907954,0.982014204982,2.51,3.63021394197,3.70360505291,10.3495094646,0.04999,0.00249825025,0.049975,0.1,247
2.75045,1.6002,3.80460230115,1.10575287644,0.362020855816,1.82,4.5615807904,0.861030515258,1.00195152576,2.36,4.03741915586,3.84314359976,10.8719253948,0.04999,0.00249825025,0.049975,0.1,248
2.75045,1.70015,3.45242621311,1.02871435718,0.31622841402,1.61,4.25682841421,0.925962981491,0.865773292356,2.19,3.72614702592,3.44732704043,9.9546922236,0.04999,0.00249825025,0.049975,0.1,249
2.75045,1.8001,3.3795897949,1.04962481241,0.2987153622,1.58,4.1767883942,0.726863431716,0.966162869971,2.24,4.22790704875,3.56050846932,10.5019196158,0.04999,0.00249825025,0.049975,0.1,250
2.75045,1.90005,3.14987493747,1.0388194097,0.279695526462,1.44,3.84692346173,0.902851425713,0.818350743888,1.92,3.89887332259,3.29223638008,9.77066610036,0.04999,0.00249825025,0.049975,0.1,251
2.75045,2.0,2.828014007,1.11385692846,0.237395972982,1.12,3.50335167584,0.812806403202,0.845504071023,1.7,4.18209727642,3.25102823637,9.82926784784,0.04999,0.001249125125,0.0249875,0.1,252
3.0004,0.001,20.0,1.09474737369,1.32302394859,12.81,20.0,1.204002001,2.64608381404,12.65,3.97115483726,50.2146500063,65.9027931142,0.04999,0.001274120125,0.0254875,0.1,253
3.0004,0.10095,19.848024012,1.02171085543,1.21091024299,12.58,19.983991996,0.785892946473,2.44440975331,12.68,3.83501640245,31.6783353998,46.9391965266,0.04999,0.00249825025,0.049975,0.1,254
3.0004,0.2009,19.9314657329,0.816208104052,1.1946847818,12.67,19.9894947474,1.07633816908,2.3721052004,12.59,3.91642255411,22.874753739,38.2409915655,0.04999,0.00249825025,0.049975,0.1,255
3.0004,0.30085,18.6876438219,0.920260130065,1.06132816944,11.75,19.5993996998,0.868934467234,2.1105947033,12.27,3.68178847721,16.1121773668,30.6884457733,0.04999,0.00249825025,0.049975,0.1,256
3.0004,0.4008,15.1684842421,0.700550275138,0.965927181162,9.51,18.3484742371,0.855727863932,1.92029362551,11.49,3.52453989622,12.2470102243,25.3306410131,0.04999,0.00249825025,0.049975,0.1,257
3.0004,0.50075,12.1149574787,1.08574287144,0.897391268093,7.5,14.9473736868,0.868634317159,1.81142920064,9.32,3.5386790338,10.0605669965,21.6342225973,0.04999,0.00249825025,0.049975,0.1,258
3.0004,0.6007,10.0585292646,0.956578289145,0.845552265681,6.13,12.3644822411,0.853626813407,1.81965289614,7.66,3.77319037792,8.92315129418,19.5114161953,0.04999,0.00249825025,0.049975,0.1,259
3.0004,0.70065,8.632016008,0.875837918959,0.788992173774,5.22,10.6396198099,0.870035017509,1.69707948264,6.54,3.7914009319,7.77538415315,17.5292031928,0.04999,0.00249825025,0.049975,0.1,260
3.0004,0.8006,7.68734367184,0.885442721361,0.781267893473,4.59,9.56848424212,0.80380190095,1.66682755113,5.82,3.93926805444,7.27063617506,16.636944445,0.04999,0.00249825025,0.049975,0.1,261
3.0004,0.90055,6.87033516758,0.914857428714,0.726427956499,4.1,8.29034517259,1.03101550775,1.49707115593,4.92,3.85069383642,6.43984356272,15.2210187113,0.04999,0.00249825025,0.049975,0.1,262
3.0004,1.0005,5.97658829415,0.971485742871,0.617638801502,3.49,7.31295647824,0.810005002501,1.31518050695,4.34,3.54648331663,5.43265601126,13.3163910502,0.04999,0.00249825025,0.049975,0.1,263
3.0004,1.10045,5.74417208604,0.925462731366,0.603866547912,3.28,6.95787893947,0.742171085543,1.46989289323,4.12,4.17916626501,5.65685839013,14.0199834287,0.04999,0.00249825025,0.049975,0.1,264
3.0004,1.2004,4.95487743872,0.934067033517,0.521737448328,2.71,6.12046023012,0.91755877939,1.22424658684,3.52,3.81165130267,4.8337170679,12.3933712867,0.04999,0.00249825025,0.049975,0.1,265
3.0004,1.30035,4.47043521761,1.01970985493,0.436818016771,2.38,5.4352176088,0.821310655328,1.17002854641,3.14,3.75903221139,4.3015603843,11.4817236898,0.04999,0.00249825025,0.049975,0.1,266
3.0004,1.4003,4.1619809905,1.03791895948,0.424555567223,2.19,5.26703351676,0.758579289645,1.14577418195,3.06,3.96488514202,4.19918953415,11.4451389185,0.04999,0.00249825025,0.049975,0.1,267
3.0004,1.50025,3.94467233617,0.941870935468,0.427691257487,2.03,4.93876938469,0.794597298649,1.10291227992,2.75,4.08070570803,4.21369569997,11.4002556889,0.04999,0.00249825025,0.049975,0.1,268
3.0004,1.6002,3.71595797899,0.985192596298,0.389297919441,1.85,4.55177588794,0.861030515258,1.10862495372,2.49,4.30966852688,4.06526056059,11.3522104368,0.04999,0.00249825025,0.049975,0.1,269
3.0004,1.70015,3.54327163582,1.04842421211,0.323976597267,1.73,4.35107553777,0.977188594297,0.886218952461,2.31,3.98872451623,3.66009072091,10.5162070589,0.04999,0.00249825025,0.049975,0.1,270
3.0004,1.8001,3.36248124062,0.989594797399,0.305219894596,1.69,4.11525762881,0.844622311156,0.833394688853,2.2,3.942733301,3.45633908889,10.0899102817,0.04999,0.00249825025,0.049975,0.1,271
3.0004,1.90005,3.12306153077,1.11105552776,0.261923080457,1.45,3.87533766883,0.792096048024,0.875914794484,2.06,4.20016996144,3.4042490687,10.1929421974,0.04999,0.00249825025,0.049975,0.1,272
